"SampleID","BirdID","Isolator","DPI","BodySite","Infection","BodySiteInf","BodyWt_g","SizeStd_BursaWt","Sex","Age_days","ratio_16s","EID50.mL","HI","UT_IFN.a","UT_IFN.b","UT_IFN.g","UT_IFN.l","UT_IL.6","UT_OAS","UT_Mx","UT_LITAF","CT_IFN.g","CT_IFN.l","CT_OAS","CT_Mx","CT_IL4","CT_IL5","CT_IL6","CT_IL10","CT_IL12","CT_LITAF","DateCollected","DateProcessed","DateExtracted","Extractor","NanoDrop","DNA.uL","Buffer.uL","Conc_ng.uL","Copies_16s"
"cCE001","201",1,"5DPC","CEC","Mock","CEC_Mock",184,3.17173913,"F",23,6495.1725,0,NA,1.669027576,0.926415083,1.283393616,0.492030311,0.765461929,0.071870102,-1.771456839,0.303880144,-2.282068856,-2.85304172,-3.088383204,-4.562505048,-3.852982008,-2.795019518,-1.199996548,-1.770410454,-2.645377545,-1.34015186,"3/10/2018","9/25/2018","10/24/2018","H. Ji",238.7,8,12,100,12990345
"cCE002","202",1,"5DPC","CEC","Mock","CEC_Mock",150,3.34,"M",23,664.2,0,NA,-1.425672424,-1.885984917,-3.626106384,0.682730311,-2.421038071,1.127670102,0.619143161,0.195180144,-1.305668856,-2.79534172,-3.062283204,-2.510705048,-3.561682008,-2.664019518,-1.033796548,-2.387610454,-2.334377545,-0.98435186,"3/10/2018","9/25/2018","10/24/2018","H. Ji",108.1,19,1,100,1328400
"cCE003","203",1,"5DPC","CEC","Mock","CEC_Mock",207,2.423671498,"F",23,42050.134,0,NA,-0.310772424,-1.072684917,-0.035106384,-0.915969689,0.395761929,1.554270102,-0.293756839,0.974280144,-1.140668856,-0.06404172,-2.215283204,-1.036505048,-2.319682008,-1.528119518,0.433903452,-1.410010454,-1.142777545,0.76214814,"3/10/2018","9/25/2018","10/24/2018","H. Ji",237.4,8,12,100,84100268
"cCE004","204",1,"5DPC","CEC","Mock","CEC_Mock",176,3.559659091,"M",23,1155.69931,0,NA,1.225827576,0.319415083,-0.071006384,0.522430311,0.354161929,0.996070102,-0.626356839,0.136680144,-2.402068856,1.21785828,-2.150383204,-1.942705048,-2.910082008,-2.820819518,-1.199496548,-2.789310454,-2.268877545,-0.56685186,"3/10/2018","9/25/2018","10/24/2018","H. Ji",72.5,20,0,72.5,1675764
"cCE005","205",1,"5DPC","CEC","Mock","CEC_Mock",206,3.030582524,"F",23,8790.592,0,NA,-0.507772424,0.224415083,1.022993616,0.001130311,0.278861929,0.101870102,1.243143161,0.013480144,-1.896968856,-1.97944172,-2.528283204,-4.950005048,-2.562282008,-2.466419518,-1.507996548,-3.029810454,-1.791377545,-0.98995186,"3/10/2018","9/25/2018","10/24/2018","H. Ji",195.7,10,10,100,17581184
"cCE006","206",1,"5DPC","CEC","Mock","CEC_Mock",143,2.733566434,"F",23,68449.1175,0,NA,-0.738772424,0.744515083,0.454993616,0.482330311,0.394261929,-0.721029898,-1.610556839,-0.064319856,-2.218568856,-0.71864172,-2.798183204,-1.526005048,-3.132882008,-3.031219518,-1.599496548,-1.632910454,-2.055277545,-1.96125186,"3/10/2018","9/25/2018","10/24/2018","H. Ji",134.2,15,5,100,136898235
"cCE007","207",1,"5DPC","CEC","Mock","CEC_Mock",179,4.603351955,"F",23,861.547,0,NA,-0.148972424,-0.221384917,0.682393616,-0.284069689,0.604561929,-1.619129898,-3.097356839,-0.346719856,2.237931144,-0.51014172,-2.886383204,2.150794952,0.307717992,2.271680482,-0.671096548,1.800589546,1.639722455,0.29434814,"3/10/2018","9/25/2018","10/24/2018","H. Ji",123.5,16,4,100,1723094
"cCE008","208",1,"5DPC","CEC","Mock","CEC_Mock",168,3.858928571,"M",23,45408.213,0,NA,0.058427576,0.266315083,0.881593616,0.583730311,0.278061929,-0.371629898,-2.365956839,0.230280144,-2.122368856,-0.76874172,-2.141083204,-2.750905048,-1.631782008,-2.585419518,-0.979596548,-2.119110454,-1.083677545,-0.41015186,"3/10/2018","9/25/2018","10/24/2018","H. Ji",119.2,17,3,100,90816426
"cCE009","209",2,"5DPC","CEC","Mock","CEC_Mock",128,4.25234375,"F",23,5103.7185,0,NA,0.099327576,-0.575384917,-1.944106384,-1.202169689,-0.945538071,-0.075429898,0.648143161,-1.006919856,-1.340668856,-1.17064172,-0.176083204,-2.141805048,-1.144482008,-1.800819518,0.502203452,-0.879210454,-0.961377545,1.01694814,"3/10/2018","9/25/2018","10/24/2018","H. Ji",159.3,13,7,100,10207437
"cCE010","210",2,"5DPC","CEC","Mock","CEC_Mock",145,3.083448276,"F",23,78508.7515,0,NA,-0.000572424,-0.257984917,-0.618106384,-0.026969689,0.183061929,-0.822429898,0.337943161,-2.802319856,-2.257168856,-1.72964172,3.460716796,-2.600105048,-1.487482008,-2.467819518,1.749103452,-1.954710454,-1.332077545,-0.70355186,"3/10/2018","9/25/2018","10/24/2018","H. Ji",114.8,17,3,100,157017503
