SampleID,BarcodeSequence,LinkerPrimerSequence,Age,Age_weeks,Tissue,Flock,Flock2,AgeTissue,AgeTissueFlock,Weight_g,Bird#,NDV,REO,HEV,BA,MG,MM,MS,Description
cC001,,,One,1,CE ,RD3 ,RD3 ,OneCE,OneCE_RD3,137,1,6103,229,3768,0,Negative,Negative,Negative,C001
cC002,,,One,1,CE ,RD3 ,RD3 ,OneCE,OneCE_RD3,157,2,7713,1440,4934,2082,Negative,Negative,Negative,C002
cC003,,,One,1,CE ,RD3 ,RD3 ,OneCE,OneCE_RD3,132,3,8852,741,5589,0,Negative,Negative,Negative,C003
cC004,,,One,1,CE ,RD3 ,RD3 ,OneCE,OneCE_RD3,135,4,6414,1076,9686,0,Negative,Negative,Negative,C004
cC005,,,One,1,CE ,RD3 ,RD3 ,OneCE,OneCE_RD3,163,5,7257,1694,6906,1826,Negative,Negative,Negative,C005
cC006,,,One,1,CE ,RD3 ,RD3 ,OneCE,OneCE_RD3,153,6,8618,1497,2821,0,Negative,Negative,Negative,C006
cC007,,,One,1,CE ,RD3 ,RD3 ,OneCE,OneCE_RD3,151,7,7949,796,8947,0,Negative,Negative,Negative,C007
cC008,,,One,1,CE ,RD3 ,RD3 ,OneCE,OneCE_RD3,152,8,3531,2291,0,279,Negative,Negative,Negative,C008
cC009,,,One,1,CE ,RD3 ,RD3 ,OneCE,OneCE_RD3,109,9,4425,612,4957,0,Negative,Negative,Negative,C009
cC010,,,One,1,CE ,RD3 ,RD3 ,OneCE,OneCE_RD3,160,10,8326,470,8381,0,Negative,Negative,Negative,C010
cC011,,,Three,3,CE ,RD3 ,RD3 ,ThreeCE,ThreeCE_RD3,634,35,0,364,530,0,Negative,Negative,Negative,C011
cC012,,,Three,3,CE ,RD3 ,RD3 ,ThreeCE,ThreeCE_RD3,782,36,0,330,0,0,Negative,Negative,Negative,C012
cC013,,,Three,3,CE ,RD3 ,RD3 ,ThreeCE,ThreeCE_RD3,582,37,0,213,639,0,Negative,Negative,Negative,C013
cC014,,,Three,3,CE ,RD3 ,RD3 ,ThreeCE,ThreeCE_RD3,662,38,0,279,0,0,Negative,Negative,Negative,C014
cC015,,,Three,3,CE ,RD3 ,RD3 ,ThreeCE,ThreeCE_RD3,755,39,0,69,0,0,Negative,Negative,Negative,C015
cC016,,,Three,3,CE ,RD3 ,RD3 ,ThreeCE,ThreeCE_RD3,712,40,0,296,592,0,Negative,Negative,Negative,C016
cC017,,,Three,3,CE ,RD3 ,RD3 ,ThreeCE,ThreeCE_RD3,437,41,0,668,0,0,Negative,Negative,Negative,C017
cC018,,,Three,3,CE ,RD3 ,RD3 ,ThreeCE,ThreeCE_RD3,750,42,0,401,232,0,Negative,Negative,Negative,C018
cC019,,,Three,3,CE ,RD3 ,RD3 ,ThreeCE,ThreeCE_RD3,568,43,0,418,0,0,Negative,Negative,Negative,C019
cC020,,,Three,3,CE ,RD3 ,RD3 ,ThreeCE,ThreeCE_RD3,753,44,0,488,0,0,Negative,Negative,Negative,C020
cC021,,,Five,5,CE ,RD3 ,RD3 ,FiveCE,FiveCE_RD3,1204,55,0,759,793,312,Negative,Negative,Negative,C021
cC022,,,Five,5,CE ,RD3 ,RD3 ,FiveCE,FiveCE_RD3,1499,56,0,964,286,0,Negative,Negative,Negative,C022
cC023,,,Five,5,CE ,RD3 ,RD3 ,FiveCE,FiveCE_RD3,1708,57,0,116,220,0,Negative,Negative,Negative,C023
cC024,,,Five,5,CE ,RD3 ,RD3 ,FiveCE,FiveCE_RD3,1663,58,0,279,209,0,Negative,Negative,Negative,C024
cC025,,,Five,5,CE ,RD3 ,RD3 ,FiveCE,FiveCE_RD3,1540,59,0,401,292,0,Negative,Negative,Negative,C025
cC026,,,Five,5,CE ,RD3 ,RD3 ,FiveCE,FiveCE_RD3,959,60,0,213,655,0,Negative,Negative,Negative,C026
cC027,,,Five,5,CE ,RD3 ,RD3 ,FiveCE,FiveCE_RD3,1237,61,0,279,206,0,Negative,Negative,Negative,C027
cC028,,,Five,5,CE ,RD3 ,RD3 ,FiveCE,FiveCE_RD3,1259,62,0,330,407,0,Negative,Negative,Negative,C028
cC029,,,Five,5,CE ,RD3 ,RD3 ,FiveCE,FiveCE_RD3,1362,63,0,541,1547,1143,Negative,Negative,Negative,C029
cC030,,,Five,5,CE ,RD3 ,RD3 ,FiveCE,FiveCE_RD3,1374,64,0,612,249,0,Negative,Negative,Negative,C030
cC031,,,Eight,8,CE ,RD3 ,RD3-DR,EightCE,EightCE_RD3,3500,75,0,1151,320,0,Negative,Negative,Negative,C031
cC032,,,Eight,8,CE ,RD3 ,RD3-DR,EightCE,EightCE_RD3,3000,76,0,612,767,0,Negative,Negative,Negative,C032
cC033,,,Eight,8,CE ,RD3 ,RD3-DR,EightCE,EightCE_RD3,3700,77,0,1189,0,0,Negative,Negative,Negative,C033
cC034,,,Eight,8,CE ,RD3 ,RD3-DR,EightCE,EightCE_RD3,2800,78,0,1020,5918,0,Negative,Negative,Negative,C034
cC035,,,Eight,8,CE ,RD3 ,RD3-DR,EightCE,EightCE_RD3,3100,79,0,541,1072,0,Negative,Negative,Negative,C035
cC036,,,Eight,8,CE ,RD3 ,RD3-DR,EightCE,EightCE_RD3,3300,80,0,668,823,0,Negative,Negative,Negative,C036
cC037,,,Eight,8,CE ,RD3 ,RD3-DR,EightCE,EightCE_RD3,3500,81,0,559,538,954,Negative,Negative,Negative,C037
cC038,,,Eight,8,CE ,RD3 ,RD3-DR,EightCE,EightCE_RD3,2700,82,0,1420,801,708,Negative,Negative,Negative,C038
cC039,,,Eight,8,CE ,RD3 ,RD3-DR,EightCE,EightCE_RD3,3800,83,0,741,0,0,Negative,Negative,Negative,C039
cC040,,,Eight,8,CE ,RD3 ,RD3-DR,EightCE,EightCE_RD3,3300,84,0,470,400,0,Negative,Negative,Negative,C040
cC041,,,Twelve,12,CE ,RD3 ,RD3-DR,TwelveCE,TwelveCE_RD3,9200,85,0,541,14089,0,Negative,Negative,Negative,C041
cC042,,,Twelve,12,CE ,RD3 ,RD3-DR,TwelveCE,TwelveCE_RD3,7400,86,0,296,10452,0,Negative,Negative,Negative,C042
cC043,,,Twelve,12,CE ,RD3 ,RD3-DR,TwelveCE,TwelveCE_RD3,8800,87,0,1971,12663,0,Negative,Negative,Negative,C043
cC044,,,Twelve,12,CE ,RD3 ,RD3-DR,TwelveCE,TwelveCE_RD3,8600,88,0,1344,14636,481,Negative,Negative,Negative,C044
cC045,,,Twelve,12,CE ,RD3 ,RD3-DR,TwelveCE,TwelveCE_RD3,7800,89,0,347,11396,0,Negative,Negative,Negative,C045
cC046,,,Twelve,12,CE ,RD3 ,RD3-DR,TwelveCE,TwelveCE_RD3,7300,90,0,759,8417,0,Negative,Negative,Negative,C046
cC047,,,Twelve,12,CE ,RD3 ,RD3-DR,TwelveCE,TwelveCE_RD3,8400,91,0,2311,19444,0,Negative,Negative,Negative,C047
