Bird_no,Age,Flock,Weight_g,NDV,REO,HEV,BA,MG,MM,MS
1,01W,F2,137,6103,229,3768,0,Negative,Negative,Negative
2,01W,F2,157,7713,1440,4934,2082,Negative,Negative,Negative
3,01W,F2,132,8852,741,5589,0,Negative,Negative,Negative
4,01W,F2,135,6414,1076,9686,0,Negative,Negative,Negative
5,01W,F2,163,7257,1694,6906,1826,Negative,Negative,Negative
6,01W,F2,153,8618,1497,2821,0,Negative,Negative,Negative
7,01W,F2,151,7949,796,8947,0,Negative,Negative,Negative
8,01W,F2,152,3531,2291,0,279,Negative,Negative,Negative
9,01W,F2,109,4425,612,4957,0,Negative,Negative,Negative
10,01W,F2,160,8326,470,8381,0,Negative,Negative,Negative
35,03W,F2,634,0,364,530,0,Negative,Negative,Negative
36,03W,F2,782,0,330,0,0,Negative,Negative,Negative
37,03W,F2,582,0,213,639,0,Negative,Negative,Negative
38,03W,F2,662,0,279,0,0,Negative,Negative,Negative
39,03W,F2,755,0,69,0,0,Negative,Negative,Negative
40,03W,F2,712,0,296,592,0,Negative,Negative,Negative
41,03W,F2,437,0,668,0,0,Negative,Negative,Negative
42,03W,F2,750,0,401,232,0,Negative,Negative,Negative
43,03W,F2,568,0,418,0,0,Negative,Negative,Negative
44,03W,F2,753,0,488,0,0,Negative,Negative,Negative
55,05W,F2,1204,0,759,793,312,Negative,Negative,Negative
56,05W,F2,1499,0,964,286,0,Negative,Negative,Negative
57,05W,F2,1708,0,116,220,0,Negative,Negative,Negative
58,05W,F2,1663,0,279,209,0,Negative,Negative,Negative
59,05W,F2,1540,0,401,292,0,Negative,Negative,Negative
60,05W,F2,959,0,213,655,0,Negative,Negative,Negative
61,05W,F2,1237,0,279,206,0,Negative,Negative,Negative
62,05W,F2,1259,0,330,407,0,Negative,Negative,Negative
63,05W,F2,1362,0,541,1547,1143,Negative,Negative,Negative
64,05W,F2,1374,0,612,249,0,Negative,Negative,Negative
75,08W,F2,3500,0,1151,320,0,Negative,Negative,Negative
76,08W,F2,3000,0,612,767,0,Negative,Negative,Negative
77,08W,F2,3700,0,1189,0,0,Negative,Negative,Negative
78,08W,F2,2800,0,1020,5918,0,Negative,Negative,Negative
79,08W,F2,3100,0,541,1072,0,Negative,Negative,Negative
80,08W,F2,3300,0,668,823,0,Negative,Negative,Negative
81,08W,F2,3500,0,559,538,954,Negative,Negative,Negative
82,08W,F2,2700,0,1420,801,708,Negative,Negative,Negative
83,08W,F2,3800,0,741,0,0,Negative,Negative,Negative
84,08W,F2,3300,0,470,400,0,Negative,Negative,Negative
85,12W,F2,9200,0,541,14089,0,Negative,Negative,Negative
86,12W,F2,7400,0,296,10452,0,Negative,Negative,Negative
87,12W,F2,8800,0,1971,12663,0,Negative,Negative,Negative
88,12W,F2,8600,0,1344,14636,481,Negative,Negative,Negative
89,12W,F2,7800,0,347,11396,0,Negative,Negative,Negative
90,12W,F2,7300,0,759,8417,0,Negative,Negative,Negative
91,12W,F2,8400,0,2311,19444,0,Negative,Negative,Negative
92,12W,F2,8500,0,290,9335,0,Negative,Negative,Negative
105,16W,F2,14200,0,673,12586,0,Negative,Negative,Negative
106,16W,F2,13600,0,3326,16106,0,Negative,Negative,Negative
107,16W,F2,13400,0,203,10317,0,Negative,Negative,Negative
108,16W,F2,13600,0,999,16303,0,Negative,Negative,Negative
14,01W,F1,152,4198,964,2476,4574,Negative,Negative,Negative
15,01W,F1,153,8310,418,1086,6400,Negative,Negative,Negative
16,01W,F1,152,2686,246,1966,0,Negative,Inconclusive,Inconclusive
17,01W,F1,189,5675,594,4002,0,Negative,Negative,Negative
18,01W,F1,152,4435,630,3008,3073,Negative,Negative,Negative
19,01W,F1,124,4167,401,1676,0,Negative,Negative,Negative
20,01W,F1,138,2673,559,3888,6687,Negative,Negative,Negative
21,01W,F1,119,0,814,3518,8559,Negative,Negative,Negative
22,01W,F1,110,5423,418,2210,8114,Negative,Negative,Negative
23,01W,F1,139,5442,1133,5431,6700,Negative,Negative,Negative
25,03W,F1,802,0,148,0,0,Negative,Negative,Negative
26,03W,F1,789,0,229,1563,0,Negative,Negative,Negative
27,03W,F1,526,2394,54,0,0,Negative,Negative,Negative
28,03W,F1,792,0,246,421,366,Negative,Negative,Negative
29,03W,F1,614,0,347,232,443,Negative,Negative,Negative
30,03W,F1,689,0,523,1182,887,Negative,Negative,Negative
31,03W,F1,457,0,296,482,1100,Negative,Negative,Negative
32,03W,F1,763,0,279,171,0,Negative,Negative,Negative
33,03W,F1,777,0,116,457,312,Negative,Negative,Negative
34,03W,F1,749,0,246,0,0,Negative,Negative,Negative
45,05W,F1,1281,0,116,171,0,Negative,Negative,Negative
46,05W,F1,1642,0,164,238,0,Negative,Negative,Negative
47,05W,F1,1745,0,668,840,0,Negative,Negative,Negative
48,05W,F1,1680,0,435,0,0,Negative,Negative,Negative
49,05W,F1,1655,0,279,0,0,Negative,Negative,Negative
50,05W,F1,1442,0,347,206,0,Negative,Negative,Negative
51,05W,F1,1593,0,296,486,0,Negative,Negative,Negative
52,05W,F1,1513,0,541,158,0,Negative,Negative,Negative
53,05W,F1,1418,0,1076,853,284,Negative,Negative,Negative
54,05W,F1,1710,0,541,0,4190,Negative,Negative,Negative
65,08W,F1,3600,0,296,519,576,Negative,Negative,Negative
66,08W,F1,3800,0,612,708,371,Negative,Negative,Negative
67,08W,F1,3400,0,364,215,341,Negative,Negative,Negative
68,08W,F1,4100,0,180,0,0,Negative,Negative,Negative
69,08W,F1,3400,0,1420,176,0,Negative,Negative,Negative
70,08W,F1,3600,0,541,226,0,Negative,Negative,Negative
71,08W,F1,3400,0,347,314,0,Negative,Negative,Negative
72,08W,F1,4200,0,401,0,0,Negative,Negative,Negative
73,08W,F1,3300,0,796,639,0,Negative,Negative,Negative
74,08W,F1,3300,0,1189,2494,0,Negative,Negative,Negative
93,12W,F1,10300,0,1234,17792,0,Negative,Negative,Negative
94,12W,F1,10000,0,203,8736,0,Negative,Negative,Negative
95,12W,F1,9300,0,1473,11288,0,Negative,Negative,Negative
96,12W,F1,10000,0,1076,12106,0,Negative,Negative,Negative
97,12W,F1,8500,0,711,3598,0,Negative,Negative,Negative
98,12W,F1,9000,0,844,9160,0,Negative,Negative,Negative
99,12W,F1,9100,0,523,14295,0,Negative,Negative,Negative
100,12W,F1,8300,0,1076,14993,0,Negative,Negative,Negative
101,16W,F1,17400,0,1432,13202,0,Negative,Negative,Negative
102,16W,F1,16600,0,6198,14250,0,Negative,Negative,Negative
103,16W,F1,17600,0,273,10499,0,Negative,Negative,Negative
104,16W,F1,15000,0,1234,4381,0,Negative,Negative,Negative
