SampleID,Bird_ID,BodySite,Bird_weight.g.,Age_weeks,Age,AgeBodySite,Flock,Flock2,BodySiteFlock,FlockAge,BodySiteFlock2,Barn,BodySiteBarn,Date_of_collection,Sex,Extractor,Extract.Date,NanoDrop
cC001,1,CECUM,137,1,01W,01W_CECUM,F2B,F2,CECUM_F2B,F2B_01W,CECUM_F2,Brood,CECUM_Brood,11/25/2015,,MA & JN,6/13/2016,103.9
cC002,2,CECUM,157,1,01W,01W_CECUM,F2B,F2,CECUM_F2B,F2B_01W,CECUM_F2,Brood,CECUM_Brood,11/25/2015,,MA & JN,6/13/2016,133.9
cC003,3,CECUM,132,1,01W,01W_CECUM,F2B,F2,CECUM_F2B,F2B_01W,CECUM_F2,Brood,CECUM_Brood,11/25/2015,,MA & JN,6/13/2016,99.8
cC004,4,CECUM,135,1,01W,01W_CECUM,F2B,F2,CECUM_F2B,F2B_01W,CECUM_F2,Brood,CECUM_Brood,11/25/2015,,MA & JN,6/13/2016,121.1
cC005,5,CECUM,163,1,01W,01W_CECUM,F2B,F2,CECUM_F2B,F2B_01W,CECUM_F2,Brood,CECUM_Brood,11/25/2015,,MA & JN,6/13/2016,106.8
cC006,6,CECUM,153,1,01W,01W_CECUM,F2B,F2,CECUM_F2B,F2B_01W,CECUM_F2,Brood,CECUM_Brood,11/25/2015,,MA & JN,6/13/2016,119
cC007,7,CECUM,151,1,01W,01W_CECUM,F2B,F2,CECUM_F2B,F2B_01W,CECUM_F2,Brood,CECUM_Brood,11/25/2015,,MA & JN,6/13/2016,104.6
cC008,8,CECUM,152,1,01W,01W_CECUM,F2B,F2,CECUM_F2B,F2B_01W,CECUM_F2,Brood,CECUM_Brood,11/25/2015,,MA & JN,6/13/2016,80.9
cC009,9,CECUM,109,1,01W,01W_CECUM,F2B,F2,CECUM_F2B,F2B_01W,CECUM_F2,Brood,CECUM_Brood,11/25/2015,,MA & JN,6/13/2016,122.3
cC010,10,CECUM,160,1,01W,01W_CECUM,F2B,F2,CECUM_F2B,F2B_01W,CECUM_F2,Brood,CECUM_Brood,11/25/2015,,MA & JN,6/13/2016,115.6
cC011,35,CECUM,634,3,03W,03W_CECUM,F2B,F2,CECUM_F2B,F2B_03W,CECUM_F2,Brood,CECUM_Brood,12/10/2015,,MA & JN,6/13/2016,82.4
cC012,36,CECUM,782,3,03W,03W_CECUM,F2B,F2,CECUM_F2B,F2B_03W,CECUM_F2,Brood,CECUM_Brood,12/10/2015,,MA & JN,6/13/2016,109.2
cC013,37,CECUM,582,3,03W,03W_CECUM,F2B,F2,CECUM_F2B,F2B_03W,CECUM_F2,Brood,CECUM_Brood,12/10/2015,,MA & JN,6/13/2016,146.8
cC014,38,CECUM,662,3,03W,03W_CECUM,F2B,F2,CECUM_F2B,F2B_03W,CECUM_F2,Brood,CECUM_Brood,12/10/2015,,MA & JN,6/13/2016,156.4
cC015,39,CECUM,755,3,03W,03W_CECUM,F2B,F2,CECUM_F2B,F2B_03W,CECUM_F2,Brood,CECUM_Brood,12/10/2015,,MA & JN,6/13/2016,53.3
cC016,40,CECUM,712,3,03W,03W_CECUM,F2B,F2,CECUM_F2B,F2B_03W,CECUM_F2,Brood,CECUM_Brood,12/10/2015,,MA & JN,6/13/2016,91.4
cC017,41,CECUM,437,3,03W,03W_CECUM,F2B,F2,CECUM_F2B,F2B_03W,CECUM_F2,Brood,CECUM_Brood,12/10/2015,,MA & JN,6/13/2016,184.1
cC018,42,CECUM,750,3,03W,03W_CECUM,F2B,F2,CECUM_F2B,F2B_03W,CECUM_F2,Brood,CECUM_Brood,12/10/2015,,MA & JN,6/13/2016,110.8
cC019,43,CECUM,568,3,03W,03W_CECUM,F2B,F2,CECUM_F2B,F2B_03W,CECUM_F2,Brood,CECUM_Brood,12/10/2015,,MA & JN,6/13/2016,143.8
cC020,44,CECUM,753,3,03W,03W_CECUM,F2B,F2,CECUM_F2B,F2B_03W,CECUM_F2,Brood,CECUM_Brood,12/10/2015,,MA & JN,6/13/2016,118.4
cC021,55,CECUM,1204,5,05W,05W_CECUM,F2B,F2,CECUM_F2B,F2B_05W,CECUM_F2,Brood,CECUM_Brood,12/22/2015,,MA & JN,6/13/2016,112.4
cC022,56,CECUM,1499,5,05W,05W_CECUM,F2B,F2,CECUM_F2B,F2B_05W,CECUM_F2,Brood,CECUM_Brood,12/22/2015,,MA & JN,6/13/2016,44.2
cC023,57,CECUM,1708,5,05W,05W_CECUM,F2B,F2,CECUM_F2B,F2B_05W,CECUM_F2,Brood,CECUM_Brood,12/22/2015,,MA & JN,6/13/2016,133.7
cC024,58,CECUM,1663,5,05W,05W_CECUM,F2B,F2,CECUM_F2B,F2B_05W,CECUM_F2,Brood,CECUM_Brood,12/22/2015,,MA & JN,6/13/2016,105.6
cC025,59,CECUM,1540,5,05W,05W_CECUM,F2B,F2,CECUM_F2B,F2B_05W,CECUM_F2,Brood,CECUM_Brood,12/22/2015,,MA & JN,6/13/2016,42.7
cC026,60,CECUM,959,5,05W,05W_CECUM,F2B,F2,CECUM_F2B,F2B_05W,CECUM_F2,Brood,CECUM_Brood,12/22/2015,,MA & JN,6/13/2016,183.3
cC027,61,CECUM,1237,5,05W,05W_CECUM,F2B,F2,CECUM_F2B,F2B_05W,CECUM_F2,Brood,CECUM_Brood,12/22/2015,,MA & JN,6/13/2016,153
cC028,62,CECUM,1259,5,05W,05W_CECUM,F2B,F2,CECUM_F2B,F2B_05W,CECUM_F2,Brood,CECUM_Brood,12/22/2015,,MA & JN,6/13/2016,112.8
cC029,63,CECUM,1362,5,05W,05W_CECUM,F2B,F2,CECUM_F2B,F2B_05W,CECUM_F2,Brood,CECUM_Brood,12/22/2015,,MA & JN,6/13/2016,102.7
cC030,64,CECUM,1374,5,05W,05W_CECUM,F2B,F2,CECUM_F2B,F2B_05W,CECUM_F2,Brood,CECUM_Brood,12/22/2015,,MA & JN,6/13/2016,125.1
cC031,75,CECUM,3500,8,08W,08W_CECUM,F2G,F2,CECUM_F2G,F2G_08W,CECUM_F2,Grow-out,CECUM_Grow-out,1/11/2016,,MA & JN,6/13/2016,173.4
cC032,76,CECUM,3000,8,08W,08W_CECUM,F2G,F2,CECUM_F2G,F2G_08W,CECUM_F2,Grow-out,CECUM_Grow-out,1/11/2016,,MA & JN,6/13/2016,160.1
cC033,77,CECUM,3700,8,08W,08W_CECUM,F2G,F2,CECUM_F2G,F2G_08W,CECUM_F2,Grow-out,CECUM_Grow-out,1/11/2016,,MA & JN,6/13/2016,133
